Tipo;Tiempo_CR;Tiempo_UTC;Lat;Lon;Profundidad_km;Magnitud_Mw;Acelaracion_cms2;Lugar_mayor_aceleracion
A;18/12/2018 16:26;18/12/2018 22:26;9,554;-84,168;32,7;4,2;11,4;San Ignacio Acosta
M;18/12/2018 12:30;18/12/2018 18:30;8,492;-83,047;27,2;4,2;7,58;Finca Naranjo,Corredores
M;17/12/2018 21:34;18/12/2018 03:34;9,758;-83,964;4,6;3,3;7,64;Frailes
M;17/12/2018 18:30;18/12/2018 00:30;9,891;-83,89;0,8;3;11,13;San Rafael Oreamuno
M;11/12/2018 18:31;12/12/2018 00:31;9,883;-83,895;3;3;5,76;Agua Caliente
M;10/12/2018 12:00;10/12/2018 18:00;9,752;-83,975;2,9;3,2;6,37;Frailes
M;8/12/2018 06:12;8/12/2018 12:12;9,753;-83,972;4,8;3,1;7,59;Frailes
A;8/12/2018 02:50;8/12/2018 08:50;9,732;-83,974;10;4;16,78;Tobosi, Cartago
A;3/12/2018 10:59;3/12/2018 16:59;9,709;-83,975;10;4;8,61;Tobosi, Cartago
M;30/11/2018 22:08;1/12/2018 04:08;9,893;-84,193;7,9;2,9;10,89;Bebedero, Escazu
M;23/11/2018 23:40;24/11/2018 05:40;9,851;-83,93;1,4;2,7;4,45;Agua Caliente
M;23/11/2018 04:20;23/11/2018 10:20;9,848;-83,928;2,4;2,8;4,91;San Rafael Oreamuno
A;22/11/2018 22:39;23/11/2018 04:39;9,956;-84,026;6,4;4;35,3;Bebedero, Escazu
M;21/11/2018 02:46;21/11/2018 08:46;10,266;-86,387;20,9;4,5;1,14;Santa Cruz UCR
M;21/11/2018 02:24;21/11/2018 08:24;10,268;-86,421;22,4;4,6;0,45;OV-Nacascolo,Liberia
M;21/11/2018 01:40;21/11/2018 07:40;10,243;-86,389;20,6;5;2,3;Santa Cruz UCR
M;19/11/2018 00:48;19/11/2018 06:48;8,569;-83,799;13,6;4,2;1,32;Hosp. Osa
M;18/11/2018 15:47;18/11/2018 21:47;8,627;-83,255;23,2;3,5;1,31;Cascajal, Coronado
A;17/11/2018 08:12;17/11/2018 14:12;10,161;-83,897;5,5;4,8;59,72;Bomberos Guapiles
A;16/11/2018 03:39;16/11/2018 09:39;9,587;-84,132;2,6;3,7;4,22;Esc. Bebedero, Escaz372
M;13/11/2018 19:44;14/11/2018 01:44;9,817;-84,07;65,4;3,9;1,75;Bebedero, Escazu
